index,id,scroll_id,panel_id,text,animal_label,myth_label,tree_label,split,image_filename
10,1_9_6,1_9,6,"Seeing Angad, Ravana resorted to illusion: The court suddenly filled with hundreds of Ravanas. It was only Indrajit (Ravana’s son) who stood as himself For it would be shameful for a son to assume his father’s guise. Seating himself on his coiled tail, Angad faced the assembly And addressed Indrajit. “All these Ravanas everywhere, are they all your father? “Then, bravo, Queen Mandodari! I marvel at your (Indrajit’s) mother “For, how can one young woman deal with a hundred husbands? “Who among these is the father who shared a maid- servant’s meal in the netherworld? “Who among these was bound by my father and still bears the mark of a tail around his neck? “I have recounted, one by one, the misdeeds of all these ‘fathers’ “But I have no need of them, point out to me your true ‘yogi’ father “Who disguised as an ascetic, stole Sita. “And we shall see how you retain your golden Lanka, (Ravana)!” As the tirade progressed, the atmosphere grew tense. Angad then slapped Ravana and grabbed his crown And delivered it to Ram’s camp.",0,1,0,train,panel_0010.jpg
11,1_11_4,1_11,4,"From the Ramayan composed by the poet, Pandit Krittibash I end my recitation here. The name of the author is Bahar Chitrakar of Medinipur. Ah, Medinipur is the address.",0,1,0,train,panel_0011.jpg
12,2_6_3,2_6,3,,0,0,1,train,panel_0012.jpg
13,1_3_2,1_3,2,"The Lord hurried to Bidur’s abode. Raja Duryadhana covered his mouth with a cloth and sniggered. “Bidur, are you home? O Bidur are you home? “For three days I have fasted at your abode. Bidur, the Vaishnav was so absorbed in the adoration of Hari That he put a banana peel into Krishna’s mouth, discarding the banana. “If I am born a human in my next life I shall sing praises of Krishna with all my heart.”",0,1,1,train,panel_0013.jpg
14,1_2_2,1_2,2,"One day, the goddess Durga bestowed her grace And revealed a cache of precious gems in a pomegranate grove. Kalketu found the treasure under the pomegranate tree (With this) he cleared the forest named Gujarat and established a town. Two more pots of gems remained. Which Kalketu filled into jars. Sealing them carefully, he carried the jars home Where the beautiful Khullona (Phullora) waited at the doorway of her thatched hut For twelve years, the ascetic had been languishing in jail. Meanwhile, Khullona had given birth to (their son) Srimonto Srimonto grew up to be a bright young man And wished to go out in search of his father.",0,0,0,train,panel_0014.jpg
15,1_8_7,1_8,7,"Madan agreed and the wedding took place.  On the night of the wedding, Rahuti, on entering the bedroom, was moved by his good looks. She then proceeded to reveal the truth to him.  Lamenting her fate, she revealed to him that her father and her brothers were robbers who would entice princes to their home by offering marriage to their sister. And with the sword that she always had by her side, she would then kill many a hapless prince.  Subsequently, her father and brothers would help themselves to all the gold, silver and jewels that the prince had with him. She informed Madan that she was sad that a similar fate awaited him.",0,0,0,train,panel_0015.jpg
16,2_14_4,2_14,4,,0,0,0,train,panel_0016.jpg
17,1_6_3,1_6,3,"King Kamsa of Mathura was a tyrannical ruler. 52 crores of sages devoted to 33 crores of gods (assembled). Ganga came on a shark, Yama on a Buffalo Pavana came on a deer; the king was disturbed. Govinda, the lord of Dwaraka, came on Garuda. Upon an ox came the five-headed Mahadeva.",0,0,0,train,panel_0017.jpg
18,1_6_8,1_6,8,"Lord Narayan, preserving Radhika’s honour Took the form of Krishna-Kali in the Nidhu grove. Ayan Ghosh wondered as he beheld Srimati (Radha) offering flowers at the feet of Kali. The story of Krishna Leela ends here. All chant Krishna’s name with love and joy. In Medinipur district’s Habichak I reside. Singing the song of Krishna Leela for you, I am Jharna Chitrakar.",0,1,1,train,panel_0018.jpg
19,1_2_1,1_2,1,"Hail Durga, Ma Tara, destroyer of sorrows. Invincible as the strong southern winds, she is Nagendranandini (daughter of the king of mountains). As Ma Chandi, her ten arms stretch in ten directions. Her third eye shines brightly in the middle of her forehead. Lakshmi, with Saraswati on her left, Kartik and Ganesh Along with the lion, the Asura, Joya and Bijoya accompany the Mother.",1,1,0,train,panel_0019.jpg
20,2_5_3,2_5,3,Year after year Let good be yours We are poor If people die there is no glory,1,0,1,train,panel_0020.jpg
21,1_7_6,1_7,6,"Placing a pot under a Champaka tree, (Manasa’s) worship began. Since then, Manasa is worshipped in every household. And with his left hand he (Chand Sadagar) offered flowers to Manasa. Since then, Manasa is worshipped in every household. This is where I end my poetic offering. Medinipur’s Bahar Chitrakar is the name of the author. O Medinipur is the address.",1,1,0,train,panel_0021.jpg
22,2_15_1,2_15,1,,0,1,0,train,panel_0022.jpg
23,2_13_4,2_13,4,,1,1,1,train,panel_0023.jpg
24,1_11_3,1_11,3,"(As) Brahma and all the other gods in the heavens (looked on). Of Ravana’s one hundred thousand sons and ten million grandsons Not one remained to continue his lineage. His fourteen thousand wives wailed around his fallen body “Who is left to rule the golden kingdom of Lanka now?” “Oh, my husband,” wept Mandodori, “though you worshipped Shiva “He deserted you when you were dying!” Touching each of the ten faces with a torch, Bibhishan lit the pyre. And plumes of smoke rose from Ravana’s burning pyre.",0,1,0,train,panel_0024.jpg
25,1_3_10,1_3,10,"Tying up the calf, Yashoda milked the cow. The two brothers Krishna-Balarama stole the butter. Fortunate Mother Yashoda (who) had been churning buttermilk With a rope Yashoda tied them up. Having feasted of the curd and milk, the Lord lay down to sleep",1,1,1,train,panel_0025.jpg
26,2_11_8,2_11,8,"""Gorur, Gorur"" he started yelling And today too the bird was smoking a pipe ""Can you procure some bangles made from conch shell?""",0,1,1,train,panel_0026.jpg
27,2_3_1,2_3,1,,1,0,1,train,panel_0027.jpg
28,2_11_10,2_11,10,"Come get conch shell bangles, Come get conch shell bangles The disguised Shiva announced three times He was welcomed at his in-laws And all the maidens wanted bangles made from conch shell",0,1,0,train,panel_0028.jpg
29,2_12_1,2_12,1,,1,1,0,train,panel_0029.jpg
30,2_14_13,2_14,13,,0,1,1,train,panel_0030.jpg
31,1_10_2,1_10,2,"A grief-stricken Ram collapsed under a tree. “We are bereft of our parents “And ordained by destiny, Sita has been abducted from the forest.” Ram lamented in silence While his beloved (brother) Lakshman comforted him, stroking his hair.",0,1,0,train,panel_0031.jpg
32,1_13_5,1_13,5,"The (dying) deer then began to cry out loud “Where are you dear Lakshmana? Come to me. “Save me from this danger!” When this heart-rending cry reached Sita’s ears She summoned Lakshmana and told him “Come quickly, brother-in-law Lakshmana, have this betel leaf. “You must go find your elder brother in the Dandaka forest.” “My brother has left me here to guard you, Lakshmi (Sita) “And you now ask me to go seek him?” “Oh, I understand your intentions, brother-in-law Lakshmana, only too well! “When Ramachandra dies, you wish to become my consort.” Covering his ears in shame, Lakshmana took Lord Vishnu’s name. “You are like my mother, Sumitra and Raghunath, my father! “First give me your word, O sage’s daughter. “I shall draw a line around the hut “(But) the face you see, should you cross the line (Will cause) chaos in the three worlds and great misery will be yours.” Having marked a boundary, Lakshmana departed.",0,1,1,train,panel_0032.jpg
33,2_14_1,2_14,1,,1,1,0,train,panel_0033.jpg
34,1_3_8,1_3,8,Krishna slayed Agasura and the bird Bagasura in the water.,1,0,0,train,panel_0034.jpg
35,2_14_9,2_14,9,,0,1,1,train,panel_0035.jpg
36,2_13_5,2_13,5,,1,1,0,train,panel_0036.jpg
37,1_6_2,1_6,2,"The Lord hurried to Bidur’s abode. Raja Duryadhana covered his mouth with a cloth and sniggered “Bidur, are you home? O Bidur are you home? “For three days I have fasted at your abode.” Bidur had (layers of) sewn cloth in his home Which he offered promptly as a seat (for Krishna). Bidur and the Vaishnavi are absorbed in the adoration of Hari. Offering a banana to the Brahmana, they discarded the peel on the floor. Bidur exclaims, “O mother, If I am reborn as a human I shall sing praises of Krishna with all my heart.”",0,0,1,train,panel_0037.jpg
38,2_14_5,2_14,5,,1,0,0,train,panel_0038.jpg
39,1_3_7,1_3,7,"He suckled again and sucked Putana’s life out. Howling with pain, Putana fell dead to the ground. And all the living creatures there dragged her out.",0,1,0,train,panel_0039.jpg
40,1_13_4,1_13,4,"How beautiful the deer looked as it danced in myriad ways. Janaki pleaded with her husband, “O, Raghuvar (Rama) “Do catch that deer for me - make me happy. “It will ease my sorrow, looking at the deer.” “Come here, dear brother Lakshmana, I cannot bear (her pain). “I shall go catch the deer at Sita’s behest. “Until I return to this hut Keep a careful watch over Sita, my brother.” With a lusty yell, Rama chased the deer. But the deer, (swift as) a golden bee, flew off. Catching up with the deer, Rama killed it.",1,0,1,train,panel_0040.jpg
41,1_1_8,1_1,8,"His chains fell away from him And a tearful Srimonto cried out in relief. With her eighteen arms Mother (Chandi) stood before him at the execution ground. “Whose home have you visited, Ma? Who worshipped you? “My life has become worthwhile, Mother, having seen your eighteen arms.”",0,1,0,train,panel_0041.jpg
42,1_4_2,1_4,2,"A veiled Radha is on her way to the river to collect water. Her gait is graceful and alluring. As the sun sets, she sees Kanai (Krishna) waiting by the pond.  Seeing him, Radha quickly draws her veil across herself. She berates him: “I have had to cover my bosom on your account. “Who has summoned you here, shameless Kanai (Krishna)? “ “Nobody has sent for me, Aunt; I have come on my own. “ (Radha responds:) “You are my nephew and I, your aunt.” (Krishna replies:) “If you are my maternal uncle’s wife, indeed you belong to another family. “I, the shameless Kanai, am only teasing you.”",0,0,1,train,panel_0042.jpg
43,2_11_7,2_11,7,"""In that case, let me give you another idea"" said Narod ""Can you disguise yourself as bangles made from conch shell? Then, she will wear you and you can meet aunt in beauty and intellect""",0,1,1,train,panel_0043.jpg
44,1_13_3,1_13,3,"The shrewd king Dashanana came up with such a clever plan. Consumed with rage at his sister’s plight His whole body seemed to be on fire. Summoning Maricha, Ravana had him change into a deer.",0,1,0,train,panel_0044.jpg
45,1_10_5,1_10,5,Angad then slapped Ravana and grabbed his crown And delivered it to Ram’s camp.  And then began the combat between Ram and Ravana in the city of Lanka.,0,1,0,train,panel_0045.jpg
46,2_6_1,2_6,1,,0,0,0,train,panel_0046.jpg
47,1_6_7,1_6,7,"The night of Ram (Navami) ended and unaccompanied by their husbands All the sakhis walked towards the Yamuna for a bath. Their clothes were all stolen by Govinda Who played his transverse flute on the Kadam tree. “O moon-faced friends, I tell you “Raise your arms and beg for your clothes.” Having seen the sakhis naked He threw their clothes back to them, one by one.  (Krishna) built a boat and ferried Radhika across the river. You are such a handsome boatman, (but) your boat is broken. “It’s not a broken boat O sakhi, but a charioteer’s boat. “I have carried horses and elephants across, how heavy could you be? “Sit as you please O sakhi, in front of me or up ahead. “You may need to scoop out a little water, don’t giggle with shame.",0,0,1,train,panel_0047.jpg
48,1_3_9,1_3,9,"He ripped off the horse Keshari’s head with a whack. All the heads steeped in sin, tumbled noisily to the ground.",1,1,1,train,panel_0048.jpg
49,1_8_1,1_8,1,Madanmohan was a Satyapir devotee.,1,0,0,train,panel_0049.jpg
50,2_12_6,2_12,6,,1,0,1,train,panel_0050.jpg
51,1_5_9,1_5,9,"Krishna now assumes the form of Krishna Kali. Ayan Ghosh stands there in deep thought, observing the scene. Seeing Radha offering flowers at Kali’s feet He orders Jotila and Kutila not to disturb Radha. And that is how aunt and nephew are united.  And here I end my recitation. I, the writer, am Bahar Chitrakar And I live in Medinipur. Ah, Medinipur is where I live.",0,1,0,train,panel_0051.jpg
52,2_14_10,2_14,10,,0,1,1,train,panel_0052.jpg
53,1_3_1,1_3,1,"(Standing) under a tree, Krishna played his flute. Upon hearing the melody, the gopis of Braja can barely stay still. Some dance, some sing, while the rest chant (the name of) Hari. With Radha’s name on their lips, the sakhis roll on the ground in ecstasy. The lord (Krishna) has dressed his turban with a peacock feather. Garlands from the different flowers of Braja adorn his head And to the tinkling of cymbals and wooden clappers, a Bakul flower is added atop his head. On his feet, the Lord has tied anklets.",0,0,1,train,panel_0053.jpg
54,2_2_1,2_2,1,"Bullock cart from the hub of potters loaded to the hilt with pots and containers The cart is driven by Bangsi badan who is accompanied by nephew Madan The haat has come up on Friday by Padma's banks in Bucksbury After assembling all the goods, Transaction is done by village folks Bitter gourd, pointed gourd, radish and aubergine Baskets, winnowing fans woven with cane Flour, refined and whole grain, gram and mustard Wrappers for winter fancily embroidered Slotted woks, spoons and ladles, city procured, cheap umbrellas. Over the sugarcane jaggery filled pitcher a swarm of flies hover A bale of hay by the boat farmers daughter brought to the ghat Kanai who begs on the road by singing songs is blind Local boys by the ghat in the river splash about.",1,0,1,train,panel_0054.jpg
55,2_13_7,2_13,7,,0,1,0,train,panel_0055.jpg
56,2_3_2,2_3,2,,0,0,1,train,panel_0056.jpg
57,2_15_3,2_15,3,,0,1,1,train,panel_0057.jpg
58,1_4_1,1_4,1,"When the divine Krishna plays his flute under the shade of a tree All the gopis of Braj go into raptures. Some dance, some sing while some chant “Hari”. With Radha’s name on their lips, they roll on the ground in ecstasy. The lord (Krishna) has tied his turban with a peacock feather. A garland made from all the flowers of Braj adorns his head. To the tinkling of cymbals, a Bakul flower is added to the garland. On his feet the Lord has worn anklets.",0,0,1,train,panel_0058.jpg
59,1_9_2,1_9,2,"The monkeys rushed hither and thither, gathering boulders Helping the brothers Neel and Nal erect a bridge across the ocean. With trees and boulders, the brave brothers built the bridge. Angad (then) declared that they were ready for battle. Gathering all the fragrant flowers from the forest The monkeys wove them into a garland for Angad.",0,1,0,train,panel_0059.jpg
60,2_11_3,2_11,3,"In her plight, she made her way to Brahma to ask for a boon On her arrival, Brahma met his aunt If you want to escape to your parents, do so But there sits the old man with trishul in his hand From yonder the city of Narod begins",0,1,1,train,panel_0060.jpg
61,1_5_1,1_5,1,"When the divine Krishna plays his flute under the shade of a tree All the gopis of Braj go into raptures. Some dance, some sing while some chant “Hari”. With Radha’s name on their lips, they roll on the ground in ecstasy. The lord (Krishna) has tied his turban with a peacock feather. A garland made from all the flowers of Braj adorns his head. To the tinkling of cymbals, a Bakul flower is added to the garland. On his feet the Lord has worn anklets.",0,0,1,train,panel_0061.jpg
62,2_10_5,2_10,5,,1,0,1,train,panel_0062.jpg
63,1_8_13,1_8,13,"The worship required the sacrifice of a sheep. Malini was known to have a large flock of sheep. When Malini claimed to have no more than one sheep, the king was informed by his soldiers that Malini did indeed have many sheep which she herded during the day, but at night they all turned into humans.  She was summoned by the king and confronted. Malini then admitted that she would use her magic to transform these men into sheep.",1,0,0,train,panel_0063.jpg
64,1_4_4,1_4,4,Krishna is filled with remorse. He commands his flute to turn into a black snake. The flute-turned-snake lies in wait on the road.,1,0,0,train,panel_0064.jpg
65,1_12_3,1_12,3,"The shrewd king Dashanana  came up with such a clever plan. Consumed with rage at his sister’s plight His whole body seemed to be on fire. Summoning Maricha, Ravana laid out his plan. “Go, Maricha to that Panchabati forest “You will find Rama, Lakshmana and Sita there “When Rama tries to catch you “You will cry out ‘my dear brother’ Thus, Ravana carefully tutored Maricha. Maricha, the sorcerer then assumed the form of a deer. How beautiful the deer looked as it danced in myriad ways. Chandramukhi called out to her husband, Raghuvar (Rama) And pleaded with him. Do catch that deer for me and make me happy. Then, the both of us, sitting in this forest Could forget our sorrows, watching the deer. “Come here, brother Lakshmana, I cannot bear (her pain). “I am off to catch the deer at Sita’s behest. “Until I return to this hut “Keep a careful watch over Sita, my brother.” With a lusty yell, Rama gave chase to the deer. But the deer, (swift as) a golden bee, flew off. Catching up with the deer, Rama killed it. The deer shrieked out loud “I am dying at the hands of a demon, dear brother! “Come and save me from my distress!” The cries reached Sita’s ears. “Come here, brother-in-law Lakshmana, have a betel leaf. “You must go search the Dandaka forest for your elder brother.” “My brother has ordered me to guard you Lakshmi (Sita). “Why do you ask me to leave?” “Oh, I understand, Lakshmana, I understand your intentions only too well “When my lord (Prabhu) dies, you wish to become my consort.” Covering his ears in shame, Lakshmana took Lord Vishnu’s name. “You are like my mother, Sumitra and Raghunath, my father! “Promise me, O sage’s daughter “(That you will stay within) the line I am drawing around the hut.”",0,1,0,train,panel_0065.jpg
66,2_15_7,2_15,7,,0,1,0,train,panel_0066.jpg
67,2_14_2,2_14,2,,1,0,0,train,panel_0067.jpg
68,1_1_10,1_1,10,"After the wedding, Srimonto returned home",0,0,0,train,panel_0068.jpg
69,2_12_3,2_12,3,,1,0,1,train,panel_0069.jpg
70,2_7_1,2_7,1,,1,0,1,train,panel_0070.jpg
71,2_1_2,2_1,2,,1,0,0,train,panel_0071.jpg
72,2_11_5,2_11,5,"""You will meet aunt in beauty and intellect"" So Shiva disguised himself as a tiger And waited by the roadside What is to fear? Karthik Ganesh fear not To go to my parents place I have transport Starching my saree and dressing neatly I will head to my parents",1,1,1,train,panel_0072.jpg
73,2_12_7,2_12,7,,1,0,0,train,panel_0073.jpg
74,1_5_4,1_5,4,(Responds Radha:) “Let Nanda Ghosh (Krishna’s adoptive father) come here and I shall fix you. “The cows of your shed shall be sold and I shall humble you.”,0,1,0,train,panel_0074.jpg
75,2_15_5,2_15,5,,0,1,0,train,panel_0075.jpg
76,2_15_8,2_15,8,,0,1,0,train,panel_0076.jpg
77,2_13_3,2_13,3,,1,1,0,train,panel_0077.jpg
78,2_12_5,2_12,5,,1,0,0,train,panel_0078.jpg
79,2_10_3,2_10,3,,0,0,0,train,panel_0079.jpg
80,2_12_2,2_12,2,,0,1,0,train,panel_0080.jpg
81,1_7_3,1_7,3,"Chand goes to the city of Champaknagar to get his son married there. Amala, the wife of the merchant of Champaknagar Has named her daughter Behula—the dancer. Old man Dannadan is sent off to arrange the match. Having fixed it up, the childless man died. Following the wedding, Lakkhindar gets ready to go to the nuptial chamber. Bearers took the front and back (of the palanquin) upon their shoulders While sweet royal melodies flowed from the Mohan-flute.",0,0,0,train,panel_0081.jpg
82,2_10_1,2_10,1,,1,1,0,train,panel_0082.jpg
83,1_12_4,1_12,4,"Having marked a boundary, Lakshmana departed. From under the shade of a banyan tree, Ravana then appeared Little boy-mendicants attired in red Went from home to home, rattling their damaru drums and begging for alms. “Please give me alms, Ma Janaki, give me alms (quickly). “For I am afraid of your husband. “From your jewelled plate, full of gold coins “Please give alms on a (poor) ascetic’s plate, O daughter of Janaka.” Receiving the alms, Ravana glanced around (covertly), anticipating danger",0,0,1,train,panel_0083.jpg
84,2_12_4,2_12,4,,0,0,0,train,panel_0084.jpg
85,1_10_1,1_10,1,Hearing the news from the bird,1,1,0,train,panel_0085.jpg
86,1_13_7,1_13,7,"And disgorged the chariot he had swallowed. With the Brahmashel arrow, Ravana struck Jatayu’s head. Jatayu fell, lying sprawled across ten kathas of land",1,1,0,train,panel_0086.jpg
87,1_1_3,1_1,3,"Shouting “Hail Durga,” Srimonto boarded the boat And the boatmen set sail. They were sailing peacefully over the waters When at Magora, struck by misfortune, they were caught in a terrible storm. (And Srimonto witnessed a strange sight:) A beautiful lady seated on a lotus was swallowing an elephant. She was Kamal Kamini (a form of Durga) atop a hundred petalled lotus. She was the mother of Ganesh, swallowing an elephant. Srimonto, moved by this wondrous sight Bowed and offered his salutations a million times.",0,1,0,train,panel_0087.jpg
88,1_3_15,1_3,15,"Whoever drives the chariot must slay the gopis first. Seizing the chariot’s wheels, the gopis threw themselves on the ground.   The story of Krishna’s raasaleela is hereby completed. By the virtue of Krishna’s raasaleela everything thrives eternally. This is where I end my poetic offering. Medinipur’s Bahar Chitrakar is the name of the author. O, Medinipur is the address. ",1,0,0,train,panel_0088.jpg
89,1_2_3,1_2,3,"“You are my only son, the light of my life,” (cried Khullona) “If you leave for even a moment, I shall feel abandoned. “ But, if you must go, do pray to Durga.” On being invoked, Chandi (Durga) appeared And Khullona handed over Srimonto to the goddess. Shouting “Hail Durga,” Srimonto boarded the boat And the boatmen set sail. They were sailing peacefully over the waters When at Magora, struck by misfortune, they were caught in a terrible storm. (And Srimonto witnessed a strange sight:) A beautiful lady seated on a lotus was swallowing an elephant. She was Kamal Kamini (a form of Durga) atop a hundred petalled lotus. She was the mother of Ganesh, swallowing an elephant. Srimonto, moved by this wondrous sight Bowed and offered his salutations a million times.  Finally, the boat docked at Ratnamala quay to the sound of kettledrums. Seeing them, the guards and wardens of the kingdom whispered among themselves. It seemed as if everyone was looting the kingdom And the king was kept totally in the dark.",0,1,0,train,panel_0089.jpg
90,2_13_9,2_13,9,,0,1,1,train,panel_0090.jpg
91,2_11_11,2_11,11,"If all wealth is sold to buy ornaments for Durga, When in plight what shall we eat from Says Ranga, ""Wear these beautiful bangles and go to heaven"" So she sat on a bed made of gold and rested her leg on a silver stool",0,1,0,train,panel_0091.jpg
92,2_9_1,2_9,1,,1,0,1,train,panel_0092.jpg
93,1_6_5,1_6,5,"Picking up his son still covered in birth fluid Basudeva gently kissed his face He walked and walked and time went by The waves of the dark Yamuna (Kalindi) soared in a tumult. The water, earlier knee-high, rose to the height of a bamboo pole. Lord Krishna slipped (from his father’s arms) and started floating upon a lotus leaf. “O what has happened! This wretched fate of mine! “What a catastrophe I have to deal with at this advanced age of mine.” (The Lord) heard Basudeva’s wail and took pity. Keeping two hands with the river (the child) climbed back on to his lap. At the house of Nanda, Krishna was exchanged for a (newborn) baby girl. That baby girl was brought back and placed on Daivaki’s lap.",1,1,0,train,panel_0093.jpg
94,1_4_6,1_4,6,"Krishna now assumes the form of Krishna Kali. Ayan Ghosh stands there in deep thought, observing the scene. Seeing Radha offering flowers at Kali’s feet He orders Jotila and Kutila not to disturb Radha. And that is how aunt and nephew are united.",0,1,0,train,panel_0094.jpg
95,2_14_7,2_14,7,,0,0,1,train,panel_0095.jpg
96,1_7_1,1_7,1,"Hail the vanquisher of poison—Manasa, the grace of this world Upon a lotus flower the maiden (Manasa) was born. She traversed with a bora snake, two- and-a-half kingdoms in length. The nasty merchant (Chand Sadagar) hurled an oblique glance at her. With an oblique gaze (upon Manasa) the merchant wrung his beard angrily. And this old man leaped around with a hental staff upon his shoulder. “Should I get hold of that devious wretch “I would smash her hip with a blow of this hental staff.”",0,1,0,train,panel_0096.jpg
97,1_5_3,1_5,3,"Seeing him, Radha quickly draws her veil across herself. She berates him: “I have had to cover my bosom on your account. “Who has summoned you here, shameless Kanai (Krishna)? “ “Nobody has sent for me, Aunt; I have come on my own. “ (Radha responds:) “You are my nephew and I, your aunt.” (Krishna replies:) “If you are my maternal uncle’s wife, indeed you belong to another family. “I, the shameless Kanai, am only teasing you.”",0,0,1,train,panel_0097.jpg
98,1_5_8,1_5,8,"Krishna is filled with remorse. He commands his flute to turn into a black snake. The flute-turned-snake lies in wait on the road. Curling around her right ankle, it bites Radha’s left ankle. Radha (in desperation) agrees to whatever Krishna had asked for. “The snake has bitten me, save me please,” she cries. “Tell me truthfully, aunt,“ (says Krishna) “how far has the poison spread?” “It has spread to every part of my body,” she cries. Krishna then, using his divine touch, drives away the poison from her body. Rid of the poison, Radha opens her eyes.",1,1,0,train,panel_0098.jpg
99,1_8_5,1_8,5,"In great excitement, the women rushed back home, leaving their pitchers behind. They informed their father-in-law about the stranger by the pond.",0,0,0,train,panel_0099.jpg
100,2_1_1,2_1,1,,1,1,1,train,panel_0100.jpg
101,2_15_2,2_15,2,,0,1,1,train,panel_0101.jpg
102,2_14_3,2_14,3,,0,0,0,train,panel_0102.jpg
103,2_10_4,2_10,4,,1,0,0,train,panel_0103.jpg
104,1_3_5,1_3,5,"Picking up his son still covered in birth fluid Basudeva gently kissed his face. “I have walked and walked; much time has passed.” The waves of the dark Yamuna (Kalindi) soared in a tumult. The water, earlier knee-high, rose to the height of a bamboo pole. Lord Krishna slipped (from his father’s arms) and started floating upon a lotus leaf. “O, what has happened! This wretched fate of mine! “What a catastrophe I have to deal with at this advanced age of mine.” Basudeva’s lamentations yielded (Krishna’s) sympathy. Keeping two hands with the river (the child) climbed back on to his lap.",1,1,0,train,panel_0104.jpg
105,1_5_2,1_5,2,"A veiled Radha is on her way to the river to collect water. Her gait is graceful and alluring. As the sun sets, she sees Kanai (Krishna) waiting by the pond.",0,1,0,train,panel_0105.jpg
106,2_10_6,2_10,6,,1,0,0,train,panel_0106.jpg
107,1_12_5,1_12,5,"And grabbing Sita’s hand, he pulled her on to his chariot. Sobbing piteously, Sita’s face was tear-streaked. “Come and save me from this plight, O brother-in-law Lakshmana!” Up and away the chariot flew (Till) Jatayu, Dasharatha’s friend, came into view. Thinking it was an enemy chariot, Jatayu swallowed it whole. “Take heed, Jatayu, take heed” Ravana warned. “For your friend’s daughter-in-law is in the chariot. Ashamed, Jatayu disgorged the chariot. With the arrow of Brahma, Ravana struck Jatayu. With a cry of pain, Jatayu fell to the ground, dying While Sita wept bitterly. The song of Ramayan was written by Krittibas. Here I end my poetic offering. My name is Seramuddin My address, Medinipur.",1,1,0,train,panel_0107.jpg
108,1_13_1,1_13,1,"The marriage of Ramachandra took place and all the rituals were completed. But to uphold his father’s promise, Rama went to live in the forest. Rama led the way, followed by Janaki Lakshmana the archer, brought up the rear. With the scorching sun above, and the burning sand beneath their feet Sita, delicate as a butter-doll, could barely walk. Breaking a (leafy) branch from a tree, Lakshmana held it over her head. “Walk slowly, under its shade, Lakshmi.”",0,0,0,train,panel_0108.jpg
109,2_10_2,2_10,2,,0,0,0,train,panel_0109.jpg
110,1_1_6,1_1,6,"The king travelled to Kalidaho to see Kamal Kamini. But to Srimonto’s embarrassment, the vision did not appear. The goddess Bhagoboti stayed hidden among the lotuses. Wishing to upset Srimonto, she did not reveal herself.",0,1,0,train,panel_0110.jpg
111,2_5_2,2_5,2,"Come to my house O ye, O ye Come to my house In the month of Karthik, o benefactor The night of amavasya has gone by Wake, Mother Lakshmi Wake, Mother Bhagabati Wake, Mother Lakshmi Wake, Mother Bhagabati Please give me five paisa Ten milk cows I sing ooooooo",1,0,0,train,panel_0111.jpg
